학습용텍스트,위험도_정답
마트 주차장에서 관리인과 사소한 시비가 붙었습니다.,0.3
아파트 주차장에서 주차 문제로 이웃과 말다툼을 했습니다.,0.3
길거리에서 취객이 시비를 걸어 잠깐 다퉜습니다.,0.3
아내와 사소한 오해 때문에 말다툼을 했습니다. 폭력은 없었습니다.,0.3
아이 층간소음 문제로 윗집과 이야기를 나눴습니다.,0.3
친구와 약속 시간 때문에 말다툼을 했습니다. 폭력은 없었습니다.,0.3
헤어진 남자친구가 잘 지내냐고 연락했을 뿐 위협적인 내용은 없었습니다.,0.3
예전 연인이 잘 지내냐고 연락했을 뿐 위협적인 내용은 없었습니다.,0.3
직장 동료와 업무 분담로 갈등이 있었지만 별다른 위협은 없었습니다.,0.3
마트 주차장에서 경비원과 사소한 시비가 붙었습니다.,0.3
옆집에서 청소기를 새벽에 돌려서 관리사무소에 항의했습니다.,0.3
친구와 술버릇 때문에 말다툼을 했습니다. 폭력은 없었습니다.,0.3
동거인과 술버릇 때문에 말다툼을 했습니다. 폭력은 없었습니다.,0.3
식당에서 다른 손님과 자리 문제로 말다툼이 있었습니다.,0.3
옆집 사람이 뛰어다녀서 소음 갈등이 있었습니다.,0.3
위층에서 뛰어다녀서 관리사무소에 항의했습니다.,0.3
남편과 집안일 분담로 다퉜지만 단순 말다툼이라 특이사항은 없습니다.,0.3
옆집에서 세탁기를 늦은 밤에 돌려서 관리사무소에 항의했습니다.,0.3
친구와 돈 문제로 다퉜지만 단순 말다툼이라 특이사항은 없습니다.,0.3
헤어진 남자친구가 SNS에 댓글을 남겼을 뿐 위협적인 내용은 없었습니다.,0.3
윗집에서 음악을 크게 틀어서 관리사무소에 항의했습니다.,0.3
중고거래 중 구매자와 환불 요청로 문자로 다퉜습니다.,0.3
부모님과 사소한 오해 때문에 말다툼을 했습니다. 폭력은 없었습니다.,0.3
옆집에서 문을 세게 닫아서 관리사무소에 항의했습니다.,0.3
윗집 사람이 음악을 크게 틀어서 소음 갈등이 있었습니다.,0.3
형제와 말투 때문에 말다툼을 했습니다. 폭력은 없었습니다.,0.3
아내와 말투로 다퉜지만 단순 말다툼이라 특이사항은 없습니다.,0.3
친구와 돈 문제 때문에 말다툼을 했습니다. 폭력은 없었습니다.,0.3
통신사 변경 권유 관련 스팸 전화가 하루에도 여러 번 옵니다.,0.3
옆집 사람이 의자를 끄는 소리가 나서 소음 갈등이 있었습니다.,0.3
회사 주차장에서 주차 문제로 이웃과 말다툼을 했습니다.,0.3
보험 가입 권유 관련 스팸 전화가 하루에도 여러 번 옵니다.,0.3
부모님과 집안일 분담로 다퉜지만 단순 말다툼이라 특이사항은 없습니다.,0.3
회사 주차장에서 관리인과 사소한 시비가 붙었습니다.,0.3
남편과 말투 때문에 말다툼을 했습니다. 폭력은 없었습니다.,0.3
전 남친이 잘 지내냐고 연락했을 뿐 위협적인 내용은 없었습니다.,0.3
