학습용텍스트,위험도_정답
모르는 사람이 엘리베이터 안에서 회칼을 들고 죽이겠다고 협박했습니다. 너무 불안합니다.,0.9
낯선 남자가 집 앞에서 둔기를 들고 죽이겠다고 협박했습니다. 살려주세요.,0.9
스토킹 가해자가 집 앞에서 가위를 들고 죽이겠다고 협박했습니다. 너무 무섭습니다.,0.9
스토킹 가해자가 주차장에서 둔기를 들고 죽이겠다고 협박했습니다. 너무 불안합니다.,0.9
전남친이 제 목을 조르며 폭행했습니다. 빨리 와주세요.,0.9
헤어진 여자친구가 아파트 복도에서 식칼을 들고 죽이겠다고 협박했습니다. 두렵습니다.,0.9
동거남이 저를 인질로 삼겠다고 협박하고 있습니다. 너무 불안합니다.,0.9
동거남이 집 앞에서 망치를 들고 죽이겠다고 협박했습니다. 두렵습니다.,0.9
모르는 사람이 망치로 저를 찌르려고 쫓아왔습니다. 빨리 와주세요.,0.9
헤어진 여자친구가 회칼로 저를 찌르려고 쫓아왔습니다. 살려주세요.,0.9
전남편이 아파트 복도에서 가위를 들고 죽이겠다고 협박했습니다. 살려주세요.,0.9
모르는 사람이 회칼로 저를 찌르려고 쫓아왔습니다. 두렵습니다.,0.9
낯선 남자가 흉기로 저를 찌르려고 쫓아왔습니다. 너무 무섭습니다.,0.9
모르는 사람이 저를 인질로 삼겠다고 협박하고 있습니다. 살려주세요.,0.9
전남편이 아파트 복도에서 칼을 들고 죽이겠다고 협박했습니다. 두렵습니다.,0.9
전남편이 회사 앞에서 둔기를 들고 죽이겠다고 협박했습니다. 너무 불안합니다.,0.9
모르는 사람이 집 앞에서 저를 기다리다가 흉기를 꺼내들었습니다. 두렵습니다.,0.9
동거남이 회사 앞에서 저를 기다리다가 흉기를 꺼내들었습니다. 두렵습니다.,0.9
모르는 사람이 엘리베이터 안에서 회칼을 들고 죽이겠다고 협박했습니다. 빨리 와주세요.,0.9
전남편이 엘리베이터 안에서 저를 기다리다가 흉기를 꺼내들었습니다. 숨어서 떨고 있습니다.,0.9
동거남이 회사 앞에서 저를 기다리다가 흉기를 꺼내들었습니다. 숨어서 떨고 있습니다.,0.9
전여친이 집 앞에서 흉기를 들고 죽이겠다고 협박했습니다. 두렵습니다.,0.9
모르는 사람이 현관 앞에서 식칼을 들고 죽이겠다고 협박했습니다. 숨어서 떨고 있습니다.,0.9
