학습용텍스트,위험도_정답
여행 일정표를 함께 만들어 주세요,0.1
봄꽃이 피기 시작해서 거리가 예뻐요,0.1
집중해서 공부하기 좋은 음악을 추천해 주세요,0.1
조용히 감상하기 좋은 시간대를 알려 주세요,0.1
새로운 것을 배우는 일은 즐거워요,0.1
가까운 곳으로 떠날 때 필요한 준비물을 알려 주세요,0.1
바닷가 근처의 숙소를 알아보고 있어요,0.1
주소를 변경하려면 어떻게 해야 하나요?,0.1
도시에서 볼 만한 명소를 추천해 주세요,0.1
초보자에게 좋은 악기를 추천해 주세요,0.1
따뜻한 차 한 잔으로 하루를 마무리할게요,0.1
욕실에 필요한 용품을 채워 두었어요,0.1
겨울 이불을 세탁해서 보관했어요,0.1
기념일에 어울리는 카드를 추천해 주세요,0.1
오늘 서울의 날씨는 어떤가요?,0.1
저녁에 재미있는 퀴즈를 풀어 볼까요?,0.1
집에서 만든 잼을 오래 보관하는 방법이 궁금해요,0.1
배송 예정일이 언제인지 확인하고 싶어요,0.1
영화 예매를 취소하려면 어떻게 하나요?,0.1
올해는 작은 식물을 키워 보고 싶어요,0.1
기념품으로 엽서를 사고 싶어요,0.1
아침에 알람을 몇 시로 맞출까요?,0.1
달빛이 은은해서 산책하기 좋아요,0.1
책상 위를 깔끔하게 정돈했어요,0.1
운동 후에 마시면 좋은 음료가 있나요?,0.1
노트북 가방의 수납공간이 넉넉한가요?,0.1
전자레인지 사용법을 알려 주세요,0.1
부모님께 드리기 좋은 건강 관련 선물이 궁금해요,0.1
아침에 입을 옷을 추천해 주세요,0.1
집중력을 높이는 공부 습관을 추천해 주세요,0.1
외국어 공부 계획을 세워 주세요,0.1
평온한 저녁 시간을 보내고 있어요,0.1
그림 그리기에 좋은 연필을 추천해 주세요,0.1
오늘은 조용한 카페에서 책을 읽고 싶어요,0.1
공원 벤치에서 잠시 쉬었어요,0.1
걷기 운동을 시작하려고 해요,0.1
계절마다 좋아하는 풍경이 달라요,0.1
편안한 실내화를 추천해 주세요,0.1
필요한 정보가 있으면 말씀해 주세요,0.1
포장 주문이 가능한지 알려 주세요,0.1
오늘 일몰 시간은 몇 시인가요?,0.1
여름에 시원하게 마시기 좋은 음료는 무엇인가요?,0.1
오늘 날씨가 정말 포근하네요,0.1
세탁이 쉬운 커튼을 찾고 있어요,0.1
봄에 심기 좋은 꽃은 무엇인가요?,0.1
우편 요금표를 확인해 주세요,0.1
책상에서 듣기 좋은 음악을 추천해 주세요,0.1
주차장 이용 요금을 확인하고 싶어요,0.1
새 화분을 하나 들이고 싶어요,0.1
지역 특산품을 어디에서 살 수 있나요?,0.1
가족과 산책하기 좋은 공원을 추천해 주세요,0.1
아침 식사용 샌드위치 레시피를 알려 주세요,0.1
주말에 그림을 배워 보고 싶어요,0.1
산 근처 숙소를 찾아보고 있어요,0.1
하루 일정을 정리하는 방법을 알려 주세요,0.1
근처에 예쁜 산책길이 있나요?,0.1
